rank,prev_rank,name,league,off,def,spi
291,289,Vitoria Setubal,Portuguese Liga,1.06,1.15,42.79
292,290,AGF Aarhus,Danish SAS-Ligaen,1.33,1.46,42.76
293,293,FC Sion,Swiss Raiffeisen Super League,1.23,1.37,42.3
294,306,Cerezo Osaka,Japanese J League,0.94,1.04,42.14
295,298,Portland Timbers,Major League Soccer,1.47,1.66,42.09
296,300,Toronto FC,Major League Soccer,1.44,1.62,42.08
297,295,Huracán,Argentina Primera Division,1.16,1.31,41.96
298,296,Asteras Tripolis,Greek Super League,0.86,0.96,41.94
299,297,Kilmarnock,Scottish Premiership,1.01,1.13,41.89
300,299,Kasimpasa,Turkish Turkcell Super Lig,1.52,1.72,41.85
301,301,Goiás,Brasileiro Série A,1.18,1.34,41.76
